,address,name,company,salary,type,edubg,experience,welfareNum
2392, 南京周边 ,可大龄包吃住+包装工6千, 南京跃越企业管理有限公司 ,3500-5500元/月,包装工,不限,不限,5
2393, 玄武区 ,五险一金聘摄影师, 南京市玄武区乐童宝贝珠江路摄… ,面议,摄影师/摄像师,不限,1-2年,2
2394, 六合周边 ,荣盛集团酒店急招洗碗工, 南京荣盛康旅旅游开发有限公司… ,2500-2600元/月,洗碗工,不限,不限,3
2395, 秦淮区 ,双休急招微商运营, 南京本草源 ,3000-5000元/月,网店运营,不限,不限,2
2396, 永阳镇 ,南京五险待遇优急聘销售助理, 南京宁迅电梯工程有限公司 ,面议,销售助理,大专,不限,1
2397, 鼓楼区 ,周末双休+投资理财顾问, 中国平安人寿保险股份有限公司… ,8000-12000元/月,投资/理财顾问,高中,不限,1
2398, 南京 ,输液室护士, 南京建国医院 ,2000-3000元/月,护士/护理,不限,不限,0
2399, 鼓楼周边 ,房贷专员, 南京红蜘蛛房产顾问有限公司 ,4500-9000元/月,销售业务跟单,大专,1-2年,2
2400, 江宁区 ,策划/文案, 南京靖崧医疗投资管理有限公司 ,面议,活动策划,大专,3-5年,0
2401, 夫子庙 ,平面设计, 南京建国医院 ,面议,平面设计,不限,不限,5
2402, 南京 ,网红奶茶店包住6000, 上海快推网络科技有限公司 ,4000-6000元/月,店员/营业员,不限,不限,5
2403, 浦口周边 ,实习保底3500房产销售, 南京手牵手置业顾问有限公司 ,面议,销售代表,不限,不限,2
2404, 江宁区 ,医生助理, 南京靖崧医疗投资管理有限公司 ,面议,美容整形师,大专,1-2年,0
2405, 浦口区 ,销售4K+食宿+带薪培训, 南京亿家居房地产营销策划有限… ,5000-8000元/月,销售代表,不限,不限,5
2406, 江宁区 ,8千厂区随车员高奖励。, 南京仙龙人力资源有限公司 ,6500-12000元/月,物流专员/助理,不限,不限,5
2407, 南苑 ,多福利3k+客服专员, 南京领略广告有限公司 ,3000-5000元/月,客服专员/助理,高中,1-2年,5
2408, 玄武门 ,上市公司/招聘销售代表, 我爱我家 ,5000-8000元/月,销售代表,大专,不限,2
2409, 玄武区 ,苏宁消费金融客服, 南京智信 ,5000-7000元/月,风险管理/控制,大专,不限,5
2410, 开发区 ,质检, 中船重工鹏力（南京）塑造科技… ,3500-4500元/月,质量检验员/测试员,技校,不限,4
2411, 玄武区 ,高薪摄影师, 南京市玄武区乐童宝贝珠江路摄… ,3000-6000元/月,摄影师/摄像师,不限,1-2年,1
2412, 仙林 ,小儿推拿助理师, 南京慧元坤中医诊所有限公司 ,2000-3000元/月,针灸推拿,大专,不限,1
2413, 秣陵 ,A写真机喷绘机操作及校色, 南京宝立得广告制作有限公司 ,3000-5000元/月,广告设计,不限,不限,3
2414, 中央门 ,后厨上什蒸箱4K包住宿, 葛府大酒店 ,3500-4000元/月,后厨,不限,不限,3
2415, 秦淮区 ,高薪诚聘服务员+提成, 南京市秦淮区辣庄火锅店 ,3000-5000元/月,服务员,不限,不限,2
2416, 东山 ,蜂鸟人事直接招聘, 南京汇艾客 ,6000-12000元/月,送餐员,不限,不限,5
2417, 宁海路 ,服务员3000到5000, 南京市建邺区倩糊世王餐饮店 ,3000-5000元/月,服务员,不限,不限,4
2418, 建邺区 ,连锁烤鱼店前厅主管, 南京彩虹之上餐饮管理有限公司… ,4000-5000元/月,大堂经理/领班,中专,1-2年,2
2419, 南京 ,客服专员+均薪5K, 上海旌创金融信息服务有限公司 ,5000-8000元/月,客户咨询热线/呼叫中心人员,中专,1年以下,1
2420, 桥北 ,无责任底薪3000房地产, 南京美宅房地产营销策划有限公司 ,面议,房产经纪人,不限,不限,2
2421, 华侨路 ,网络销售+待遇优, 南京镜界摄影公司 ,6000-8000元/月,网络销售,高中,1-2年,1
2422, 华侨路 ,早晚班洗碗工, 新街口金陵饭店 ,2000-3000元/月,洗碗工,不限,1年以下,3
2423, 秦淮区 ,大明路卡子门售后客服, 南京塔兰托商贸有限公司 ,3000-5000元/月,客服专员/助理,不限,不限,1
2424, 桥北 ,销售精英五险一金争取落户, 南京我爱我家房屋租赁置换有限… ,5000-10000元/月,电话销售,高中,不限,2
2425, 将军大道 ,#印刷厂长白班包食宿, 南京日峰企业服务有限公司 ,3000-3500元/月,普工,不限,不限,3
2426, 中央门 ,加盟拓展, 南京市鼓楼区叶林皮具经营部 ,面议,市场拓展,高中,1-2年,5
2427, 南京 ,行政专员五险一金待遇好, 南京亲诚生物科技有限公司 ,3000-5000元/月,行政专员/助理,大专,不限,5
2428, 奥体 ,房产经纪人高薪诚聘, 诚业营销 ,8000-16000元/月,房产经纪人,不限,不限,4
2429, 尧化 ,#包食宿高企小时工月五千, 上汽大众汽车有限公司南京分公司 ,4500-5500元/月,普工,不限,不限,4
2430, 樱驼花园 ,销售无责任底薪4000, 南京德源健康管理 ,4000-8000元/月,销售代表,中专,不限,5
2431, 浦口区 ,急聘底薪5k+包住+五险, 南京北辰房产营销策划有限公司 ,5000-8000元/月,销售代表,不限,不限,5
2432, 玄武门 ,4千招影楼客服无销售, 南京经典雪中彩影婚纱摄影有限… ,面议,客服专员/助理,不限,不限,2
2433, 南京 ,包住+五险一金+南京急招招生顾, 南京谐休教育咨询有限公司 ,5000-8000元/月,招生/课程顾问,大专,不限,4
2434, 鼓楼周边 ,贷款催收专员（双休五险）, 南京卡罗帝亚贸易有限公司 ,5000-8000元/月,金融投资其他,技校,不限,3
2435, 鼓楼区 ,新街口急聘医拍摄影师学。, 南京市鼓楼区梦之初摄影中心 ,3000-5000元/月,摄影师/摄像师,中专,不限,1
2436, 建邺区 ,x急聘送餐小哥8千五险, 南京超集筷电子商务有限公司 ,6000-8000元/月,送餐员,不限,不限,2
2437, 鼓楼区 ,诚聘足疗按摩SPA女技师, 鑫源足艺 ,10000-18000元/月,按摩师,不限,不限,1
2438, 六合区 ,高薪急招服务员底薪三仟, 南京金帝景酒店管理有限公司 ,3000-5000元/月,服务员,不限,不限,4
2439, 珠江路 ,星级酒店聘电工, 南京珍珠饭店有限公司 ,3000-3300元/月,综合维修工,不限,1-2年,2
2440, 江宁区 ,渠道专员（提供食宿）, 南京益启康程生物科技有限公司 ,5000-8000元/月,销售代表,高中,不限,4
2441, 江宁周边 ,5高薪5000+坐班五险, 上海传浦劳务派遣有限公司江宁… ,3000-5500元/月,普工,不限,不限,5
